CRASH DATE,LATITUDE,LONGITUDE,new-string
09/11/2021,40.86418,-73.90119,09.8641.9011
04/15/2021,40.76161,-73.97076,04.7616.9707
04/15/2021,40.689648,-73.9184,04.6896.9184
04/14/2021,40.741634,-73.88266,04.7416.8826
04/15/2021,40.596977,-73.97324,04.5969.9732
04/16/2021,40.63864,-74.02245,04.6386.0224
04/14/2021,40.565254,-74.1301,04.5652.1301
04/14/2021,40.655895,-73.898224,04.6558.8982
04/14/2021,40.68821,-73.96583,04.6882.9658
04/15/2021,40.71649,-73.98484,04.7164.9848
04/16/2021,40.876785,-73.87446,04.8767.8744
04/16/2021,40.86367,-73.86741,04.8636.8674
04/14/2021,40.835827,-73.89068,04.8358.8906
04/15/2021,40.793396,-73.94043,04.7933.9404
04/14/2021,40.84827,-73.88312,04.8482.8831
04/14/2021,40.656273,-73.90731,04.6562.9073
